Results for n = 2:
  Run         n    W  Result               Time (s)
   12  20.000000  762  (13, 6304, [2, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 1, 1])                    0.001131
   13  20.000000  838  (15, 7562, [1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1])              0.000168
   14  20.000000  541  (14, 6831, [2, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 2])                 0.000475
   15  20.000000  760  (11, 7894, [2, 2, 2, 3, 3, 1, 2, 1, 2, 1, 1])                          0.011218
   16  20.000000  910  (12, 8037, [3, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2])                       0.000921
   17  20.000000  736  (14, 6581, [1, 2, 1, 3, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1])                 0.000620
   18  20.000000  858  (15, 8676, [1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 2, 1, 1, 1])              0.000605
   19  20.000000  705  (11, 7566, [1, 1, 1, 1, 3, 2, 2, 3, 1, 2, 3])                          0.002509
   20  20.000000  866  (12, 8647, [2, 2, 3, 1, 3, 2, 1, 1, 2, 1, 1, 1])                       0.006453
   21  20.000000  722  (12, 5046, [1, 1, 2, 1, 2, 2, 4, 2, 1, 2, 1, 1])                       0.004332
   22  20.000000  709  (11, 5813, [1, 1, 2, 1, 4, 3, 1, 1, 2, 1, 3])                          0.006499
   23  20.000000  685  (13, 6328, [2, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1, 1, 2])                    0.000800
   24  20.000000  531  (15, 5287, [2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1])              0.000373
   25  20.000000  894  (18, 11824, [1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])    0.000065

--------------------------------------------------------------------------------

